code;bezeichnung;einzelpreis;gruppe
Kohlensäurebäder und Kohlensäuregasbäder (Teilbad);Kohlensäurebäder und Kohlensäuregasbäder (Teilbad);21.37;Physiotherapie
Kohlensäurebäder und Kohlensäuregasbäder (Vollbad);Kohlensäurebäder und Kohlensäuregasbäder (Vollbad);21.37;Physiotherapie
CM;CM;17.57;Physiotherapie
Hornhautabtragung;Hornhautabtragung;30.70;Podologie
Nagelbearbeitung;Nagelbearbeitung;30.70;Podologie
Podologische Komplexbehandlung;Podologische Komplexbehandlung;44.00;Podologie
Nagelspangenbehandlung;Nagelspangenbehandlung;0.00;Podologie
Stimmtherapie-30;Stimmtherapie-30;45.95;Stimm-, Sprech-Sprach- und Schlucktherapie
Stimmtherapie-45;Stimmtherapie-45;63.19;Stimm-, Sprech-Sprach- und Schlucktherapie
Stimmtherapie-60;Stimmtherapie-60;80.42;Stimm-, Sprech-Sprach- und Schlucktherapie
Stimmtherapie-Gruppe-45;Stimmtherapie-Gruppe-45;56.87;Stimm-, Sprech-Sprach- und Schlucktherapie
Stimmtherapie-Gruppe-90;Stimmtherapie-Gruppe-90;103.40;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprech- und Sprachtherapie-45;Sprech- und Sprachtherapie-45;63.19;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprech- und Sprachtherapie-30;Sprech- und Sprachtherapie-30;45.95;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprech- und Sprachtherapie-60;Sprech- und Sprachtherapie-60;80.42;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprech- und Sprachtherapie-Gruppe-45;Sprech- und Sprachtherapie-Gruppe-45;56.87;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprech- und Sprachtherapie-Gruppe-90;Sprech- und Sprachtherapie-Gruppe-90;103.40;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprachtherapie-30;Sprachtherapie-30;45.95;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprachtherapie-60;Sprachtherapie-60;80.42;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprachtherapie-Gruppe-90;Sprachtherapie-Gruppe-90;103.40;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprachtherapie-Gruppe-45;Sprachtherapie-Gruppe-45;56.87;Stimm-, Sprech-Sprach- und Schlucktherapie
Stimm-, Sprech- und Sprachtherapie-30;Stimm-, Sprech- und Sprachtherapie-30;45.95;Stimm-, Sprech-Sprach- und Schlucktherapie
Kältetherapie;Kältetherapie;6.67;Ergotherapie
Wärmetherapie;Wärmetherapie;6.67;Ergotherapie
Stimm-, Sprech- und Sprachtherapie-45;Stimm-, Sprech- und Sprachtherapie-45;63.19;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprachtherapie-45;Sprachtherapie-45;63.19;Stimm-, Sprech-Sprach- und Schlucktherapie
Stimm-, Sprech- und Sprachtherapie-Gruppe-45;Stimm-, Sprech- und Sprachtherapie-Gruppe-45;56.87;Stimm-, Sprech-Sprach- und Schlucktherapie
Stimm-, Sprech- und Sprachtherapie-Gruppe-90;Stimm-, Sprech- und Sprachtherapie-Gruppe-90;103.40;Stimm-, Sprech-Sprach- und Schlucktherapie
Stimm-, Sprech- und Sprachtherapie-60;Stimm-, Sprech- und Sprachtherapie-60;80.42;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprechtherapie-45;Sprechtherapie-45;63.19;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprechtherapie-30;Sprechtherapie-30;45.95;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprechtherapie-60;Sprechtherapie-60;80.42;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprechtherapie-Gruppe-45;Sprechtherapie-Gruppe-45;56.87;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprech- und Stimmtherapie-30;Sprech- und Stimmtherapie-30;45.95;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprechtherapie-Gruppe-90;Sprechtherapie-Gruppe-90;103.40;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprech- und Stimmtherapie-45;Sprech- und Stimmtherapie-45;63.19;Stimm-, Sprech-Sprach- und Schlucktherapie
Sprech- und Stimmtherapie-60;Sprech- und Stimmtherapie-60;80.42;Stimm-, Sprech-Sprach- und Schlucktherapie
Schlucktherapie-30;Schlucktherapie-30;45.95;Stimm-, Sprech-Sprach- und Schlucktherapie
Schlucktherapie-45;Schlucktherapie-45;63.19;Stimm-, Sprech-Sprach- und Schlucktherapie
Motorisch-funkt. Beh.;Motorisch-funkt. Beh.;43.56;Ergotherapie
Schlucktherapie-60;Schlucktherapie-60;80.42;Stimm-, Sprech-Sprach- und Schlucktherapie
Motorisch-funkt. Beh. Gruppe;Motorisch-funkt. Beh. Gruppe;34.58;Ergotherapie
Motorisch-funkt. Beh. mit ergoth. Schiene/n;Motorisch-funkt. Beh. mit ergoth. Schiene/n;43.56;Ergotherapie
Thermische Anwendungen;Thermische Anwendungen;6.67;Ergotherapie
Sensomotorisch-perz. Beh.;Sensomotorisch-perz. Beh.;58.64;Ergotherapie
Sensomotorisch-perz. Beh. Gruppe;Sensomotorisch-perz. Beh. Gruppe;46.91;Ergotherapie
Sensomotorisch-perz. Beh. mit ergoth. Schiene/n;Sensomotorisch-perz. Beh. mit ergoth. Schiene/n;58.64;Ergotherapie
Hirnleistungstraining/neuropsych. orientierte Beh.;Hirnleistungstraining/neuropsych. orientierte Beh.;48.28;Ergotherapie
Hirnleistungstraining Gruppe;Hirnleistungstraining Gruppe;37.98;Ergotherapie
Psychisch-funkt. Beh. Gruppe;Psychisch-funkt. Beh. Gruppe;58.08;Ergotherapie
Psychisch-funkt. Beh.;Psychisch-funkt. Beh.;73.41;Ergotherapie
Ernährungstherapie;Ernährungstherapie;67.82;Ernährungstherapie
Ernährungstherapie Gruppe;Ernährungstherapie Gruppe;47.47;Ernährungstherapie
