code;bezeichnung;einzelpreis;gruppe
38.3;Paraffinganzpackungen;23.00;HP Spezialpackungen
38.4;Kneippsche Wickel- und Ganzpackungen, Prießnitz- und Schlenzpackungen;31.00;HP Spezialpackungen
39.1;Einfache oder örtliche Lichtbestrahlungen;8.00;HP Elektro-physikalische Heilmethoden
39.2;Ganzbestrahlungen;10.50;HP Elektro-physikalische Heilmethoden
39.4;Faradisation, Galvanisation und verwandte Verfahren (Schwellstromgeräte);15.50;HP Elektro-physikalische Heilmethoden
9.1;bei Tag;29.50;HP Hausbesuch, einschließlich Beratung
9.2;in dringenden Fällen (Eilbesuch, sofort ausgeführt);32.00;HP Hausbesuch, einschließlich Beratung
9.3;bei Nacht und an Sonn- und Feiertagen;26.50;HP Hausbesuch, einschließlich Beratung
10.2;für jede angefangene Stunde bei NachtDas Wegegeld wird ersetzt bei einer Entfernung von 2 bis 25 Kilometern:;10.50;HP Nebengebühren für Hausbesuche
10.4;durch besondere Vereinbarung mit dem Patienten, wie Gestellung eines Transportmittels. Hierbei besteht nur Anspruch auf Vergütung der Zeitversäumnis. Bei Benutzung des eigenen Fahrzeuges für den zurückgelegten Kilometer;;HP Nebengebühren für Hausbesuche
10.5;bei Tag;1.25;HP Nebengebühren für Hausbesuche
10.6;bei Nacht;2.50;HP Nebengebühren für Hausbesuche
10.7;	Handelt es sich um einen Fernbesuch von über 25 km Entfernung zwischen Praxis- und Besuchsort, so können pro Kilometer an Reisekosten in Anrechnung gebracht werden;0.25;HP Nebengebühren für Hausbesuche
10.8;Handelt es sich bei einem Krankenbesuch um eine Reise, welche länger als sechs Stunden dauert, so kann der Heilpraktiker anstelle des Wegegeldes die tatsächlich entstandenen Reisekosten in Anrechnung bringen und außerdem für den Zeitaufwand pro Stunde Reisezeit berechnen. Der Patient ist hiervon vorher in Kenntnis zu setzen.;20.50;HP Nebengebühren für Hausbesuche
12.1;Harnuntersuchungen qualitativ mittels bis zu Verwendung eines Mehrfachreagenzträgers (Teststreifen) durch visuellen Farbvergleich;3.10;HP Chemisch-physikalische Untersuchungen
12.2;	Harnuntersuchung quantitativ (es ist anzugeben, auf welchen Stoff untersucht wurde, z.B. Zucker usw.);4.60;HP Chemisch-physikalische Untersuchungen
12.5;Carzinochrom-Reaktion (CCR);17.90;HP Chemisch-physikalische Untersuchungen
12.7;Blutstatus (nicht neben Ziff. 12.9, 12.10, 12.11);18.00;HP Chemisch-physikalische Untersuchungen
13.1;Sonstige Untersuchungen unter Zuhilfenahme spezieller Apparaturen oder Färbeverfahren besonders schwieriger Art, z.B. ph-Messungen im strömenden Blut oder Untersuchungen nach v. Bremer, Enderlein usw.;31.00;HP Sonstige Untersuchungen
14.1;Binokulare mikroskopische Untersuchung des Augenvordergrundes;10.50;HP Spezielle Untersuchungen
14.2;Binokulare Spiegelung des Augenhintergrundes;10.50;HP Spezielle Untersuchungen
14.3;Grundumsatzbestimmung nach Read;8.00;HP Spezielle Untersuchungen
12.8;Blutzuckerbestimmung;8.00;HP Chemisch-physikalische Untersuchungen
12.9;Hämoglobinbestimmung;5.50;HP Chemisch-physikalische Untersuchungen
12.10;Differenzierung des gefärbten Blutausstriches;7.70;HP Chemisch-physikalische Untersuchungen
12.11;Zählung der Leuko- und Erythrozyten;5.50;HP Chemisch-physikalische Untersuchungen
12.12;Blutkörperchen-Senkungsgeschwindigkeit (BKS) einschließlich Blutentnahme;6.00;HP Chemisch-physikalische Untersuchungen
12.13;Einfache mikroskopische und/oder chemische Untersuchungen von Körperflüssigkeiten und Ausscheidungen auch mit einfachen oder schwierigen Färbeverfahren sowie Dunkelfeld, pro Untersuchung;9.50;HP Chemisch-physikalische Untersuchungen
12.14;Aufwendige Chemogramme von Körperflüssigkeiten und Ausscheidungen je nach Umfang (z.B. Enzymdiagnostik, Nieren- chemie, Blutserumchemie, Stuhlchemie, Elektrolyse, Elektrophorese, Fermentchemie, pro Einzeluntersuchung);10.50;HP Chemisch-physikalische Untersuchungen
12.15;Kristallographie, Photometrie, pro Einzeluntersuchung;10.50;HP Chemisch-physikalische Untersuchungen
19.8;Behandlung einer Einzelperson durch Hypnose;26.00;HP Psychotherapie
20.1;Atemtherapeutische Behandlungsverfahren;31.00;HP Atemtherapie, Massagen
20.2;Nervenpunktmassage nach Cornelius, Aurelius u.a. Spezialnervenmassage;15.50;HP Atemtherapie, Massagen
20.4;Teilmassage (Massage einzelner Körperteile);10.50;HP Atemtherapie, Massagen
20.5;Großmassage;18.00;HP Atemtherapie, Massagen
20.6;Sondermassagen - Unterwasserdruckstrahlmassage - Lymphdrainage - Schrägbettbehandlung u.a;20.50;HP Atemtherapie, Massagen
20.7;Behandlung mit physikalischen oder medico-mechanischen Apparaten;26.00;HP Atemtherapie, Massagen
20.8;Einreibungen zu therapeutischen Zwecken in die Haut;8.00;HP Atemtherapie, Massagen
25.7;Infusion;8.70;HP Injektionen, Infusionen
25.8;Dauertropfinfusion;12.80;HP Injektionen, Infusionen
25.9;Gasgemischinjektionen (z.B. Ozon oder Sauerstoff), intramuskulär;13.00;HP Injektionen, Infusionen
25.10;Gasgemischinjektionen, intraarteriell;26.00;HP Injektionen, Infusionen
25.11;HOT-Behandlung (Hämatogene Oxidationstherapie);51.50;HP Injektionen, Infusionen
27.7;Setzen von Fontanellen;15.50;HP Hautableitungsverfahren, Hautreizverfahren
27.8;Setzen von Cantharidenblasen;10.50;HP Hautableitungsverfahren, Hautreizverfahren
27.9;Reinjektion des Blaseninhaltes (aus Ziffer 27.8);10.50;HP Hautableitungsverfahren, Hautreizverfahren
27.10;Anwendung von Pustulantien;10.50;HP Hautableitungsverfahren, Hautreizverfahren
27.11;	Baunscheidtieren;20.50;HP Hautableitungsverfahren, Hautreizverfahren
27.12;Biersche Stauung;8.00;HP Hautableitungsverfahren, Hautreizverfahren
37.5;Elektrisches Vollbad (Stangerbad);13.00;HP Elektrische Bäder- und Heißluftbäder
39.5;Anwendung der Influenzmaschine;10.50;HP Elektro-physikalische Heilmethoden
39.6;	Anwendung von Heizsonnen (Infrarot);8.00;HP Elektro-physikalische Heilmethoden
39.7;Verschorfung mit heißer Luft und heißen Dämpfen;10.50;HP Elektro-physikalische Heilmethoden
39.8;Behandlung mit hochgespannten Strömen, Hochfrequenzströmen in Verbindung mit verschiedenen Apparaten;15.50;HP Elektro-physikalische Heilmethoden
39.9;Langwellenbehandlung (Diathermie), Kurzwellen- und Mikrowellenbehandlung;18.00;HP Elektro-physikalische Heilmethoden
1;Für die eingehende, das gewöhnliche Maß übersteigende Untersuchung;20.50;HP Diverse Leistung
3;Kurze Information, auch per Telefon, oder Ausstellung einer Wiederholungsverordnung, als einzige Leistung pro Inanspruchnahme des Heilpraktikers;4.50;HP Diverse Leistung
39.10;Magnetfeldtherapie mit besonderen Spezialapparaten;20.50;HP Elektro-physikalische Heilmethoden
39.11;Elektromechanische und elektrothermische Behandlung (je nach Aufwand und Dauer);31.00;HP Elektro-physikalische Heilmethoden
39.12;Niederfrequente Reizstromtherapie, z.B. Jono Modulator;26.00;HP Elektro-physikalische Heilmethoden
39.13;Ultraschall-Behandlung;15.50;HP Elektro-physikalische Heilmethoden
